Miner,Rewards,Checkpoint1 Blocks Added,Checkpoint2 Blocks Added,Checkpoint3 Blocks Added,Blocks Added
miner_1,6.689999999999995,51,20,8,1
miner_2,6.554999999999997,45,21,12,1
miner_3,9.699999999999996,50,20,10,2
miner_4,6.589999999999997,46,22,10,1
miner_5,7.204999999999995,52,29,10,1
miner_6,4.494999999999993,56,29,13,0
miner_7,10.215000000000005,51,27,15,2
miner_8,3.9349999999999943,49,25,12,0
miner_9,3.1549999999999967,46,15,6,0
miner_10,6.974999999999994,51,23,13,1
miner_11,3.929999999999994,54,20,11,0
miner_12,10.279999999999998,52,26,17,2
miner_13,10.190000000000007,55,26,9,2
miner_14,6.304999999999996,43,21,7,1
miner_15,9.76,47,24,11,2
miner_16,3.964999999999994,46,29,12,0
miner_17,9.935,49,25,12,2
miner_18,6.904999999999996,52,21,12,1
miner_19,10.530000000000012,54,32,13,2
miner_20,7.009999999999994,49,26,13,1
miner_21,7.1399999999999935,51,26,14,1
miner_22,4.534999999999994,55,29,16,0
miner_23,7.489999999999993,58,28,11,1
miner_24,7.184999999999992,51,27,14,1
miner_25,3.7899999999999947,50,22,10,0
miner_26,7.069999999999994,49,28,12,1
miner_27,12.455000000000005,43,21,12,3
miner_28,3.7449999999999948,50,23,7,0
miner_29,4.749999999999993,59,30,15,0
miner_30,6.679999999999998,43,24,15,1
miner_31,4.384999999999994,52,29,16,0
miner_32,9.590000000000009,46,20,13,2
miner_33,3.3149999999999964,42,21,9,0
miner_34,6.844999999999998,46,25,14,1
miner_35,3.2399999999999967,42,18,11,0
miner_36,7.254999999999997,50,27,18,1
miner_37,7.634999999999994,54,33,15,1
miner_38,9.780000000000001,51,22,8,2
miner_39,6.914999999999992,51,25,8,1
miner_40,3.149999999999997,45,14,9,0
miner_41,9.475,47,19,9,2
miner_42,4.279999999999994,52,28,14,0
miner_43,4.154999999999994,54,25,11,0
miner_44,6.984999999999995,50,25,12,1
miner_45,13.225000000000009,50,27,17,3
miner_46,3.8999999999999946,48,26,11,0
miner_47,3.6799999999999957,52,20,6,0
miner_48,3.6249999999999947,41,25,15,0
miner_49,6.724999999999995,46,25,10,1
miner_50,16.115000000000006,52,25,13,4
miner_51,4.309999999999993,61,22,9,0
miner_52,7.024999999999996,55,23,8,1
miner_53,13.500000000000002,57,28,13,3
miner_54,7.419999999999993,56,30,9,1
miner_55,4.3449999999999935,50,31,15,0
miner_56,7.2249999999999925,50,29,14,1
miner_57,6.989999999999994,51,24,12,1
miner_58,6.814999999999995,49,23,11,1
miner_59,7.004999999999992,51,25,11,1
miner_60,6.489999999999996,44,20,13,1
miner_61,10.334999999999999,57,23,15,2
miner_62,3.279999999999996,38,22,13,0
miner_63,6.974999999999996,51,25,10,1
miner_64,4.289999999999993,51,28,16,0
miner_65,4.369999999999994,55,28,12,0
miner_66,6.944999999999996,54,23,7,1
miner_67,3.804999999999995,44,27,13,0
miner_68,3.779999999999995,48,24,10,0
miner_69,7.249999999999995,55,26,11,1
miner_70,3.989999999999994,48,26,14,0
miner_71,7.279999999999994,52,30,11,1
miner_72,13.235000000000012,52,27,14,3
miner_73,7.024999999999995,52,23,13,1
miner_74,12.770000000000003,46,24,13,3
miner_75,4.379999999999994,57,26,12,0
miner_76,3.334999999999996,43,21,8,0
miner_77,6.924999999999995,44,29,14,1
miner_78,6.709999999999998,43,26,13,1
miner_79,3.504999999999996,41,25,11,0
miner_80,7.0099999999999945,49,26,13,1
miner_81,3.7399999999999953,46,24,12,0
miner_82,7.054999999999994,49,27,13,1
miner_83,9.860000000000015,49,24,11,2
miner_84,3.539999999999995,48,20,8,0
miner_85,10.520000000000005,52,32,16,2
miner_86,7.679999999999993,57,32,13,1
miner_87,10.560000000000015,57,28,15,2
miner_88,10.079999999999997,57,20,11,2
miner_89,6.489999999999997,44,20,13,1
miner_90,13.150000000000013,50,28,13,3
miner_91,6.994999999999993,49,27,11,1
miner_92,6.9199999999999955,46,28,12,1
miner_93,6.984999999999995,47,27,14,1
miner_94,13.765000000000015,59,29,17,3
miner_95,4.069999999999994,52,24,13,0
miner_96,3.9299999999999944,51,24,10,0
miner_97,7.0199999999999925,48,28,12,1
miner_98,10.535000000000005,52,31,18,2
miner_99,6.514999999999997,49,17,10,1
miner_100,7.329999999999996,56,28,9,1
